ID,Date/Time,Categoria,Publicacion,Hora,Lat,Lon
329.0,3/19/2018,Tren,Martes,17:00,18.82591902877696,-97.24327474820146
330.0,,Robo,Miércoles,3:00,18.82591902877696,-97.24327474820146
331.0,,Robo,Jueves,3:00,18.829573,-97.2559
332.0,3/25/2018,Robo,Lunes,17:00,18.82591902877696,-97.24327474820146
333.0,3/24/2018,Asalto,Lunes,21:00,18.82591902877696,-97.24327474820146
334.0,4/3/2018,Tren,Jueves,19:00,18.82591902877696,-97.24327474820146
335.0,,Robo,Sábado,3:00,18.82591902877696,-97.24327474820146
336.0,,Robo,Miércoles,3:00,18.829573,-97.2559
337.0,4/9/2018,Tren,Jueves,21:00,18.82591902877696,-97.24327474820146
338.0,4/12/2018,Tren,Viernes,3:00,18.82591902877696,-97.24327474820146
339.0,4/13/2018,Tren,Sábado,9:00,18.82591902877696,-97.24327474820146
340.0,4/13/2018,Robo,Sábado,3:00,18.82591902877696,-97.24327474820146
341.0,4/12/2018,Robo,Sábado,9:00,18.82591902877696,-97.24327474820146
342.0,4/14/2018,Tren,Domingo,7:00,18.82591902877696,-97.24327474820146
343.0,4/13/2018,Robo,Domingo,3:00,18.816412,-97.234309
344.0,4/14/2018,Robo,Lunes,17:00,18.829573,-97.2559
345.0,4/19/2018,Robo,Viernes,3:00,18.82591902877696,-97.24327474820146
346.0,4/21/2018,Robo,Miércoles,3:00,18.816412,-97.234309
347.0,4/24/2018,Robo,Jueves,19:00,18.816412,-97.234309
348.0,4/28/2018,Tren,Lunes,23:00,18.82591902877696,-97.24327474820146
349.0,4/30/2018,Tren,Miércoles,3:00,18.82591902877696,-97.24327474820146
